UUID,Name,Points
aa3eaf74-6d9c-4859-b733-5a18a3b2f71b,afonso_rf,681
2d3d2dce-d353-4961-ad39-46723efe2100,mariicmartins,1731
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,6349
ca95ef2a-5129-40f4-acbc-2ced25940032,tdlupus,421
65662aff-44d6-4f06-b9d9-07445c6e5943,kozat0,820
98b960e7-6b7b-45b7-b7af-60bca40e04b9,gu1z17,0
b2f9d026-0727-4125-b84b-c60af3148a15,dcha0tic,2804
6e1bc660-02eb-49ac-aee6-592328504897,jesak_,434
95ef4c1e-b21a-468e-b419-ad08333c4948,marciormr,120
e7c79c1a-7693-4e63-a844-c755e0bc3bd3,gabriel_aka,1063
c4f241f8-2140-4f72-b1a3-904fcc51e38c,otal_xandao,598
e407fad9-4f76-4c12-98ea-d70d1c8d0d97,juligaioso,1460
cf317911-6a16-403b-9ea0-ad9b90d44a1a,danszk,131
d92138ad-7b6f-4b5b-8e0d-5041fe5b943a,tak3_iteasy,4
00a6d4c8-38e5-4e92-981e-4e4ac5084546,cecisssssss,0
2fa14ef0-72ee-43b8-a884-8cedd9dae64e,campeiro,221
03d75a45-0b36-4fd7-a84e-7b36912f1998,spacca_de_cabelo,12
a59e2ccb-72ef-45d3-844c-65334964261f,colonel_volgin_,962
1fe103bf-ba44-42a2-9b75-fc7d9f9bd2f8,uakabaiaxi,158
c7a4278b-de77-421a-ac17-43c8e8eef6ef,tanquetav,470
a2abd650-93a1-4c0e-a57e-485b7fadfa43,franknfjr,206
b76c3795-90bf-4470-a6ff-8005d2810fc9,zsahist,869
f072ee1b-dfec-4073-940b-0264dbe408de,pequenna,1
c51d1137-46fe-483a-b4b8-7f7fa6703aaa,bullciti,0
6a7d3662-8ab6-43e2-a194-e7f1a58b996d,comportado,0
a36bb816-5ac7-414e-9252-98c4720839dc,pistolinha_ghost,22
43e2aca6-8825-46ca-85ac-ac76a461638e,phblbrasil2,1
54edd84d-73ad-4821-8d53-7ed04f00b2e4,kaycristina,758
5b59236f-a9dd-4877-a738-d56a77a301e8,savarizluan,104
aa47f1e7-1631-4b03-abd9-9309de45f81a,andrehm_,904
a1478518-6bf1-41e7-895b-355a06554b96,talismacedo,145
1370597d-57dc-46ae-9d2f-ac6e4a285c81,skyavet,896
053f094b-a813-4417-9bb6-7a3d1737b089,vioninho,5
7e158eee-407a-49e8-a1b0-87662b735e57,huezenbergg,0
28980931-4ba6-4206-99e9-5ebbe0f28295,jaimilson_,0
99431a0f-1f38-47ab-9136-445c7afae00d,nicolaslima167,3324
ed18130c-a356-402e-be63-15948e0e4108,rafaelbatistella,57
20224958-4a8b-461c-a1b9-02080a55af96,clerijr,100
5ae0871a-e31d-4003-8c1a-e181dab54036,ig_barreto,642
331ebc0b-f4a6-4364-85a3-33f91743e2c3,kolligan,602
df695821-6cd6-457e-91b3-33f988c736bc,luisx3krz,695
3458efb0-0a7e-490f-8856-c29f9050d938,the_avila,1445
34b1ea54-b7c8-489f-85f8-aab2a844c2e3,vinicius_cd,462
596f1ca1-2593-46f8-93d3-272447fcafae,nicholascarballo,8
af4f97a5-90a8-4ebf-8420-d7766ad093ea,ldbressan,1038
c9ed7cd1-df65-43b9-a18d-f658936b1799,danlscrf,325
0368a5c3-bc5d-45f2-b8a0-07e74ea1574f,levy957,1263
be6ccf09-820d-43c9-9705-9fc381b682f7,viniciuss_vieira,204
4c77c153-19b9-42e2-a03c-04f43dcc6105,vinnyportugal07,3066
e37e9fd7-73b3-44a5-9eb9-022fb6d39225,beepthedev,2
6dece871-c22b-40a9-a919-19a88acf3401,igor_tiltado,457
faf46096-5f3c-4419-befb-7365c881d2d6,duckosapateiro,0
4fade907-6e0f-4581-a674-aad6622b1b10,will_sca,1862
f608acbe-ccef-4161-b46a-5a6f6a46a3f3,trindadexd,315
5877cf53-bde0-4bfa-b61b-0a09e5dd5147,pivetadev,588
df08af5d-fb82-4b1f-a2e3-621d845fbb6e,surtocerto,50
317476ac-bfe4-427e-b611-06cdc5e80894,palantirnexus,0
f7a75235-e8f3-4763-9429-185ec3598b06,skimifil,1967
82a5c529-3e9b-40c0-a662-f1a3c1939642,jheni_souzaaa,0
